NO;ITEM DESIGN;URAIAN DESIGN;SATUAN;  HARGA 
33;NP-7.0-140-3S;"Jasa pemasangan New Pole 7 Meter 300 x 4"",200 x 3"" x 200 x 2,5"" , Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) & Cor Pondasi dengan Kekuatan Tarik 140 Kg + Pemasangan Aksesoris";pcs;125000
34;NP-9.0-140-3S;"Jasa pemasangan New Pole 9 Meter 400 x 4"", 300 x 3"", 200 x 2.5"", Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) & Cor Pondasi dengan Kekuatan Tarik 140 Kg";pcs;150000
35;NP-CB-7.0-250;Jasa pemasangan New Pole Beton 7 Meter, Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) & Cor Pondasi dengan Kekuatan Tarik 250 Kg + Pemasangan Aksesoris;pcs;195000
36;NP-CB-9.0-250;Jasa pemasangan New Pole Beton 9 Meter, Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) & Cor Pondasi dengan Kekuatan Tarik 250 Kg + Pemasangan Aksesoris;pcs;220000
37;PP-CD-IN;Jasa pemasangan Pipe Protection Indoor Cable (Pvc White) High Impact Conduit 20 Mm;meter;1800
38;PP-CD-OUT;Jasa pemasangan Pipe Protection Outdoor Cable (Pvc Black) High Impact Conduit 20 Mm;meter;1800
39;HDPE-40-33;Jasa pemasangan Pipa Hdpe 40/33 Mm 1 Pipa Dengan Kedalaman 1,5 Meter dan warna identitas Kuning strip Biru;meter;900
40;TT-NP;Jasa pemasangan Temberang Tarik;pcs;30000
41;GB-0.1-OHM;Jasa pemasangan Grounding 1 titik rod pada FATdengan tahanan maks 3 ohm;pcs;200000
42;GB-0.2-OHM;Jasa pemasangan Grounding 3 titik rod pada FDT dengan tahanan maks 2 ohm;pcs;250000
43;GB-0.3-OHM;Jasa pemasangan Grounding 5 titik rod pada FDT dengan tahanan maks 1 ohm;pcs;200000
44;FS-OF-SM;Jasa Penyambungan Cable Optik Single Mode 1 Core Dengan Cara Fusion Splice;core;20000
45;NN-CO-CORE;Jasa Pekerjaan Cut Over Kabel Serat Optik, berikut Validasi dan Update Management Data;core;20000
46;EXCAVATION-0.4;Jasa Pekerjaan Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 40 cm/ 0.4 meter;meter;8000
47;EXCAVATION-0.6;Jasa Pekerjaan Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 60 cm/ 0.6 meter;meter;9250
48;EXCAVATION-1.0;Jasa Pekerjaan Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 100 cm/ 1.0 meter;meter;13750
49;EXCAVATION-1.2;Jasa Pekerjaan Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 120 cm/ 1.2 meter;meter;15500
50;EXCAVATION-1.5;Jasa Pekerjaan & pengadaan Material  Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 150 cm/ 1.5 meter;meter;20750
51;BCTR-ROCK;Jasa galian batu masif kedalaman 1,5 meter, panjang minimum 5 m, termasuk pengadaan marking post;meter;106900
52;BD-SK;Jasa Pekerjaan & pengadaan Material bobokan dan perbaikan Dinding Chamber / BTS / SHELTER untuk lubang Sparing Kabel;titik;62887
53;DD-BRNG-HDPE-40-1;Jasa Pekerjaan Boring manual (rojok) HDPE  40/33 mm 1 pipa dengan kedalaman 1,5 meter;meter;16850
54;DD-BRNG-HDPE-40-2;Jasa Pemasangan Pipa galvanis dengan ukuran diameter 50 mm dan ketebalan 2,7 mm cara boring manual /mesin 1 pipa dengan kedalaman minimal 150 cm, 2 pipa;meter;17950
55;DD-BRNG-HDPE-50-1;Jasa Pekerjaan Boring manual (rojok)  HDPE  50/42 mm 1 pipa dengan kedalaman 1,5 meter;meter;16850
56;DD-BRNG-HDPE-50-2;Jasa Pekerjaan Boring manual (rojok)  HDPE  50/42 mm 2 pipa dengan kedalaman 1,5 meter;meter;20600
57;DD-ROD;Jasa Pekerjaan Pembersihan pada route Duct yang kosong / Rodding Duct Existing;meter;1000
58;DD-RV-1;Jasa Pekerjaan Perbaikan Route Duct / HDPE, 1 pipa;meter;36000
59;DD-RV-CONCRETE;Jasa Pekerjaan & Pengadaan Material bobok dinding MH / HH termasuk perbaikan kembali;m3;860000
60;DD-DS-S1;Jasa Pekerjaan & Pengadaan Material  duct baru dengan cara melakukan boring dibawah dasar parit/sungai dengan kedalaman 1,5 m dengan menggunakan PVC diameter 100 mm dan ketebalan 5,5 mm 1 pipa;meter;225000
61;DD-DS-COD1-M;Jasa Pekerjaan & Pengadaan Material duct baru type COD, dengan mesin pengeboran (borring) dibawah parit, pada kedalaman 1,50 m di bawah dasar selokan, tanpa perlindungan PVC, 1 pipa;meter;225000
62;Klem HDPE;Jasa Pekerjaan & Pengadaan Material Klem HDPE di dinding beton dengan klem ketebalan 2mm lebar 2,5 cm menggunakan dynabolt termasuk rekondisi atau perbaikan kerusakan;pcs;6500
63;MH-HH-170;"Jasa Pekerjaan & Pengadaan Material Handhole Type HH1 ukuran dimensi dalam (P X L X T = 170x150x165) cor beton 1 : 2 : 3 dengan tulisan "" ID-NET """;pcs;4000000
64;MH-PIT-120;"Jasa Pekerjaan & Pengadaan Material Handhole Type HH2 ukuran dimensi dalam (P X L X T = 120x130x165) cor beton 1 : 2 : 3 dengan tulisan "" ID-NET """;pcs;4000000
65;HH-PIT-80;"Jasa Pekerjaan & Pengadaan Material Handhole Pit ukuran dimensi dalam (P x L x T = 80cm x 80cm x 100cm) cor beton 1 : 2 : 3 dengan tulisan "" ID-NET """;pcs;1500000
66;HH-PIT-P-HA;Jasa Pekerjaan & Pengadaan Material Pembuatan HH Pit Portable Home Access ukuran 40cm beserta aksesorisnya;pcs;275000
67;HH-PIT-P-FAT;Jasa Pekerjaan & Pengadaan Material Pembuatan dan Pemasangan HH PIT Portable FAT beserta aksesorisnya;pcs;575000
68;HH-PIT-P-FDT;Jasa Pekerjaan & Pengadaan Material Pembuatan dan Pemasangan HH PIT Portable FDT beserta aksesorisnya;pcs;1275000
69;MH-HH-REKONDISI;Jasa Pekerjaan & Pengadaan Material Peninggian Tutup Manhole/Handhole;pcs;740000
70;SITAC-FDT-MH-HH;Biaya perizinan yang diberikan untuk penempatan FDT termasuk MH dan HH di dalam lahan selain PU yang bersifat restribusi;Package;pengajuan
71;SLACK-SUPPORT-80;Jasa Pemasangan Slack include sabuk ukuran dimensi dalam (P x L = 80cm x 80cm);pcs;15000
72;SLACK-SUPPORT-120;Jasa Pemasangan Slack include sabuk ukuran dimensi dalam (P x L = 120cm x 120cm);pcs;20000
73;LABELING-KFA;Jasa Pemasangan & Pengadaan label kabel Fiber Optik dengan material akrilik warna (P x L = 5cm x 15cm, tebal = 5 mm);pcs;10000
74;LABELING-PC;Jasa Pemasangan & Pengadaan material termasuk jasa Pelabelan Digital dan Perapian Di Dalam FDT;pcs;3500
75;RP-GALVANIS;Jasa Pemasangan Riser Pipe Untuk Pengamanan Kabel Optik Ke FDT Pole / Titik Naik Ku Diameter 2 Inch Panjang 3 Meter;pcs;26000
76;FDT-PROT-144;Jasa Pemasangan Kerangkeng FDT-144, menggunakan rangka besi siku 4 cm dan ram besi beton diameter 10 mm, dengan gembok 50 mm;pcs;360000
77;FDT-PROT-288;Jasa Pemasangan Kerangkeng FDT-288, menggunakan rangka besi siku 4 cm dan ram besi beton dia. 10 mm, dengan gembok 50 mm;pcs;375000
78;REGEL-CABLE;Jasa Perapian Kabel Udara Fiber Optik Single Mode 1-144 core G 652 D Existing Terjuntai;meter;1000
79;ROLLBACK-CABLE;Jasa Geser Kabel Udara Fiber Optik Single Mode kapasitas 1-144 core;meter;800
80;DISMANTLE-CABLE;Jasa Pembongkaran dan Gulung Kabel Udara Fiber Optik Single Mode kapasitas 1-144 core (beserta pengembalian ke gudang terdekat);meter;500
81;PU-S7-BACKEND;Jasa Pencabutan Tiang besi 7 meter Eksisting (tiang bengkok dikembalikan ke gudang);pcs;70000
82;PU-S9-BACKEND;Jasa Pencabutan Tiang besi 9 meter Eksisting (tiang bengkok dikembalikan ke gudang);pcs;70000
83;PU-LABEL-EXST;Jasa Pelabelan Tiang dengan menggunakan cat besi sesuai DESIGN PACK;node;2500
84;RK-OLT-OUTDOOR;Jasa Pemasangan Mini OLT Outdoor berikut dengan pondasi Rak Mini OLT Outdoor dan Manhole 120, sesuai guidelines yang berlaku;node;8000000
85;PIPE-BRIDGE;"jasa Pemasangan Pipa galvanis dengan ukuran diameter 5"" pada jembatan berikut dengan penyambungan pipa dan cat identitas INTERNUSA GROUP";meter;70000
86;MV-MATERIAL-20/39;Delivery material dalam jarak 0-20 km dari WH INTERNUSA ke on site pekerjaan per segment;ls;20000
87;MV-MATERIAL-20/40;Delivery material dalam jarak 20-40 km dari WH INTERNUSA ke on site pekerjaan per segment;ls;40000
88;MV-MATERIAL-40/60;Delivery material dalam jarak 40-60 km dari WH INTERNUSA ke on site pekerjaan per segment;ls;80000
89;MV-MATERIAL-60-UP;Delivery material dalam jarak >60 km dari WH INTERNUSA ke on site pekerjaan per segment;ls;150000
90;PERMIT-HOMEPASS;Nilai perizinan yang diberikan berdasarkan jumlah homepass dalam cluster dengan guidelines INTERNUSA yang berlaku;lot;7500
91;SURVEY-HOMEPASS;Nilai kegiatan survey yang diberikan berdasarkan jumlah homepass dalam cluster dengan guidelines INTERNUSA yang berlaku;lot;2500
92;PRELIMINARY-BCKBN-PEMDA;Biaya-biaya yang timbul dalam rangka untuk perijinan, konsumsi, kompensasi dan Supervisi mulai dari LSM, Private Area dan Rumija Pemda melingkupi PU NASIONAL, PU PROVINSI dan PU KABUPATEN/ KOTA dalam dasar pekerjaan segment Backbone;meter;750
93;PEMBERKASAN DOKUMEN;Pemberkasan dokumentasi pekerjaan ;Package;2000000
