NO;ITEM DESIGN;URAIAN DESIGN;SATUAN;  HARGA 
16;OTB-SM-24;Jasa Pemasangan OTB Single Mode kapasitas 24 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp30.000 
17;OTB-SM-48;Jasa Pemasangan OTB Single Mode kapasitas 48 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp30.000 
18;OTB-SM-96;Jasa Pemasangan OTB Single Mode kapasitas 96 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp45.000 
19;OTB-SM-144;Jasa Pemasangan OTB Single Mode kapasitas 144 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp50.000 
20;OTB-SM-288;Jasa Pemasangan OTB Single Mode kapasitas 288 core, Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp90.000 
21;FAT-PB-8C-SOLID;Jasa pemasangan FAT type POLE Kap 8 core adaptor SC/UPC terdiri dari 1 Box Spliter (termasuk 1 spliter 1:8), 1 Box beserta Accessories, berikut pelabelan, pengukuran OTDR dan OPM;pcs; Rp60.000 
22;FAT-PB-16C-SOLID;Jasa pemasangan  FAT type POLE Kap 16 core adaptor SC/UPC terdiri dari 2Box Spliter (termasuk 2 spliter 1:8), 1 Box beserta Accessories, berikut pelabelan, pengukuran OTDR dan OPM;pcs; Rp60.000 
23;Base Tray ODC;Jasa pemasangan OTB termasuk terminasi dan penyambungan kabel optik Single mode kap 12 core serta Adapter (SC Connector), pigtail dan protection sleeve pada cassette/box;pcs; Rp50.000 
24;FAT-PDSTL-8;Jasa pemasangan FAT ( Pedestal ) kap 8 core termasuk pigtail, berikut space 1 splitter (1:8) dan Pelabelan, pengukuran OTDR dan OPM;pcs; Rp80.000 
25;FAT-PDSTL-16;Jasa pemasangan FAT ( Pedestal ) kap 16 core termasuk pigtail, berikut space 1 splitter (1:16) dan Pelabelan, pengukuran OTDR dan OPM;pcs; Rp80.000 
26;FDT-POLE-48C;Jasa pemasangan FDT-Pole (Outdoor) With Space For Passive Splitter, Adaptor SC Kapasitas 48 Core, (Termasuk Pelabelan FDT dan Pengukuran OTDR & OPM);pcs; Rp450.000 
27;FDT-POLE-96C;Jasa pemasangan FDT-Pole (Outdoor) With Space For Passive Splitter, Adaptor SC Kapasitas 96 Core, (Termasuk Pelabelan FDT dan Pengukuran OTDR & OPM);pcs; Rp950.000 
28;FDT-STDG-96C;Jasa pemasangan FDT-Pole (Outdoor) With Space For Passive Splitter, Adaptor SC Kapasitas 96 Core, (Termasuk Pelabelan FDT dan Pengukuran OTDR & OPM);pcs; Rp2.000.000 
29;FDT-STDG-144C;Jasa pemasangan FDT-Pole (Outdoor) With Space For Passive Splitter, Adaptor SC Kapasitas 144 Core, (Termasuk Pelabelan FDT dan Pengukuran OTDR & OPM);pcs; Rp2.250.000 
30;FDT-STDG-288C;Jasa pemasangan FDT-Pole (Outdoor) With Space For Passive Splitter, Adaptor SC Kapasitas 288 Core, (Termasuk Pelabelan FDT dan Pengukuran OTDR & OPM);pcs; Rp2.500.000 
31;NP-6.0-100-1S;"Jasa pemasangan New Pole 6 Meter 2,5"" x 600, Berikut Cat dengan warna identitas Kuning (atas) Biru (Bawah) & Cor Pondasi dengan Kekuatan Tarik 100 Kg + Pemasangan Aksesoris";pcs; Rp100.000 
32;NP-7.0-140-2S;"Jasa pemasangan New Pole 7 Meter 600 x 3"",200 x 3"" x 100 x 2,5"" , Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) + Pemasangan Aksesoris";pcs; Rp115.000 
33;NP-7.0-140-3S;"Jasa pemasangan New Pole 7 Meter 300 x 4"",200 x 3"" x 200 x 2,5"" , Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) & Cor Pondasi dengan Kekuatan Tarik 140 Kg + Pemasangan Aksesoris";pcs; Rp125.000 
34;NP-9.0-140-3S;"Jasa pemasangan New Pole 9 Meter 400 x 4"", 300 x 3"", 200 x 2.5"", Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) & Cor Pondasi dengan Kekuatan Tarik 140 Kg";pcs; Rp150.000 
35;NP-CB-7.0-250;Jasa pemasangan New Pole Beton 7 Meter, Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) & Cor Pondasi dengan Kekuatan Tarik 250 Kg + Pemasangan Aksesoris;pcs; Rp195.000 
36;NP-CB-9.0-250;Jasa pemasangan New Pole Beton 9 Meter, Berikut Cat dengan warna identitas Kuning (atas) Biru (bawah) & Cor Pondasi dengan Kekuatan Tarik 250 Kg + Pemasangan Aksesoris;pcs; Rp220.000 
37;PP-CD-IN;Jasa pemasangan Pipe Protection Indoor Cable (Pvc White) High Impact Conduit 20 Mm;meter; Rp1.800 
38;PP-CD-OUT;Jasa pemasangan Pipe Protection Outdoor Cable (Pvc Black) High Impact Conduit 20 Mm;meter; Rp1.800 
39;HDPE-40-33;Jasa pemasangan Pipa Hdpe 40/33 Mm 1 Pipa Dengan Kedalaman 1,5 Meter dan warna identitas Kuning strip Biru;meter; Rp900 
40;TT-NP;Jasa pemasangan Temberang Tarik;pcs; Rp30.000 
41;GB-0.1-OHM;Jasa pemasangan Grounding 1 titik rod pada FATdengan tahanan maks 3 ohm;pcs; Rp200.000 
42;GB-0.2-OHM;Jasa pemasangan Grounding 3 titik rod pada FDT dengan tahanan maks 2 ohm;pcs; Rp250.000 
43;GB-0.3-OHM;Jasa pemasangan Grounding 5 titik rod pada FDT dengan tahanan maks 1 ohm;pcs; Rp200.000 
44;FS-OF-SM;Jasa Penyambungan Cable Optik Single Mode 1 Core Dengan Cara Fusion Splice;core; Rp20.000 
45;NN-CO-CORE;Jasa Pekerjaan Cut Over Kabel Serat Optik, berikut Validasi dan Update Management Data;core; Rp20.000 
46;EXCAVATION-0.4;Jasa Pekerjaan Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 40 cm/ 0.4 meter;meter; Rp8.000 
47;EXCAVATION-0.6;Jasa Pekerjaan Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 60 cm/ 0.6 meter;meter; Rp9.250 
48;EXCAVATION-1.0;Jasa Pekerjaan Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 100 cm/ 1.0 meter;meter; Rp13.750 
49;EXCAVATION-1.2;Jasa Pekerjaan Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 120 cm/ 1.2 meter;meter; Rp15.500 
50;EXCAVATION-1.5;Jasa Pekerjaan & pengadaan Material  Galian, Pengurugan Kembali Dan Perbaikan Kembali, Pengisian Pasir,  Kedalaman 150 cm/ 1.5 meter;meter; Rp20.750 
51;BCTR-ROCK;Jasa galian batu masif kedalaman 1,5 meter, panjang minimum 5 m, termasuk pengadaan marking post;meter; Rp106.900 
52;BD-SK;Jasa Pekerjaan & pengadaan Material bobokan dan perbaikan Dinding Chamber / BTS / SHELTER untuk lubang Sparing Kabel;titik; Rp62.887 
53;DD-BRNG-HDPE-40-1;Jasa Pekerjaan Boring manual (rojok) HDPE  40/33 mm 1 pipa dengan kedalaman 1,5 meter;meter; Rp16.850 
54;DD-BRNG-HDPE-40-2;Jasa Pemasangan Pipa galvanis dengan ukuran diameter 50 mm dan ketebalan 2,7 mm cara boring manual /mesin 1 pipa dengan kedalaman minimal 150 cm, 2 pipa;meter; Rp17.950 
55;DD-BRNG-HDPE-50-1;Jasa Pekerjaan Boring manual (rojok)  HDPE  50/42 mm 1 pipa dengan kedalaman 1,5 meter;meter; Rp16.850 
56;DD-BRNG-HDPE-50-2;Jasa Pekerjaan Boring manual (rojok)  HDPE  50/42 mm 2 pipa dengan kedalaman 1,5 meter;meter; Rp20.600 
57;DD-ROD;Jasa Pekerjaan Pembersihan pada route Duct yang kosong / Rodding Duct Existing;meter; Rp1.000 
58;DD-RV-1;Jasa Pekerjaan Perbaikan Route Duct / HDPE, 1 pipa;meter; Rp36.000 
59;DD-RV-CONCRETE;Jasa Pekerjaan & Pengadaan Material bobok dinding MH / HH termasuk perbaikan kembali;m3; Rp860.000 
60;DD-DS-S1;Jasa Pekerjaan & Pengadaan Material  duct baru dengan cara melakukan boring dibawah dasar parit/sungai dengan kedalaman 1,5 m dengan menggunakan PVC diameter 100 mm dan ketebalan 5,5 mm 1 pipa;meter; Rp225.000 
61;DD-DS-COD1-M;Jasa Pekerjaan & Pengadaan Material duct baru type COD, dengan mesin pengeboran (borring) dibawah parit, pada kedalaman 1,50 m di bawah dasar selokan, tanpa perlindungan PVC, 1 pipa;meter; Rp225.000 
62;Klem HDPE;Jasa Pekerjaan & Pengadaan Material Klem HDPE di dinding beton dengan klem ketebalan 2mm lebar 2,5 cm menggunakan dynabolt termasuk rekondisi atau perbaikan kerusakan;pcs; Rp6.500 
63;MH-HH-170;"Jasa Pekerjaan & Pengadaan Material Handhole Type HH1 ukuran dimensi dalam (P X L X T = 170x150x165) cor beton 1 : 2 : 3 dengan tulisan "" ID-NET """;pcs; Rp4.000.000 
64;MH-PIT-120;"Jasa Pekerjaan & Pengadaan Material Handhole Type HH2 ukuran dimensi dalam (P X L X T = 120x130x165) cor beton 1 : 2 : 3 dengan tulisan "" ID-NET """;pcs; Rp4.000.000 
65;HH-PIT-80;"Jasa Pekerjaan & Pengadaan Material Handhole Pit ukuran dimensi dalam (P x L x T = 80cm x 80cm x 100cm) cor beton 1 : 2 : 3 dengan tulisan "" ID-NET """;pcs; Rp1.500.000 
66;HH-PIT-P-HA;Jasa Pekerjaan & Pengadaan Material Pembuatan HH Pit Portable Home Access ukuran 40cm beserta aksesorisnya;pcs; Rp275.000 
67;HH-PIT-P-FAT;Jasa Pekerjaan & Pengadaan Material Pembuatan dan Pemasangan HH PIT Portable FAT beserta aksesorisnya;pcs; Rp575.000 
68;HH-PIT-P-FDT;Jasa Pekerjaan & Pengadaan Material Pembuatan dan Pemasangan HH PIT Portable FDT beserta aksesorisnya;pcs; Rp1.275.000 
69;MH-HH-REKONDISI;Jasa Pekerjaan & Pengadaan Material Peninggian Tutup Manhole/Handhole;pcs; Rp740.000 
70;SITAC-FDT-MH-HH;Biaya perizinan yang diberikan untuk penempatan FDT termasuk MH dan HH di dalam lahan selain PU yang bersifat restribusi;Package; pengajuan 
71;SLACK-SUPPORT-80;Jasa Pemasangan Slack include sabuk ukuran dimensi dalam (P x L = 80cm x 80cm);pcs; Rp15.000 
72;SLACK-SUPPORT-120;Jasa Pemasangan Slack include sabuk ukuran dimensi dalam (P x L = 120cm x 120cm);pcs; Rp20.000 
73;LABELING-KFA;Jasa Pemasangan & Pengadaan label kabel Fiber Optik dengan material akrilik warna (P x L = 5cm x 15cm, tebal = 5 mm);pcs; Rp10.000 
74;LABELING-PC;Jasa Pemasangan & Pengadaan material termasuk jasa Pelabelan Digital dan Perapian Di Dalam FDT;pcs; Rp3.500 
75;RP-GALVANIS;Jasa Pemasangan Riser Pipe Untuk Pengamanan Kabel Optik Ke FDT Pole / Titik Naik Ku Diameter 2 Inch Panjang 3 Meter;pcs; Rp26.000 
76;FDT-PROT-144;Jasa Pemasangan Kerangkeng FDT-144, menggunakan rangka besi siku 4 cm dan ram besi beton diameter 10 mm, dengan gembok 50 mm;pcs; Rp360.000 
77;FDT-PROT-288;Jasa Pemasangan Kerangkeng FDT-288, menggunakan rangka besi siku 4 cm dan ram besi beton dia. 10 mm, dengan gembok 50 mm;pcs; Rp375.000 
78;REGEL-CABLE;Jasa Perapian Kabel Udara Fiber Optik Single Mode 1-144 core G 652 D Existing Terjuntai;meter; Rp1.000 
79;ROLLBACK-CABLE;Jasa Geser Kabel Udara Fiber Optik Single Mode kapasitas 1-144 core;meter; Rp800 
80;DISMANTLE-CABLE;Jasa Pembongkaran dan Gulung Kabel Udara Fiber Optik Single Mode kapasitas 1-144 core (beserta pengembalian ke gudang terdekat);meter; Rp500 
81;PU-S7-BACKEND;Jasa Pencabutan Tiang besi 7 meter Eksisting (tiang bengkok dikembalikan ke gudang);pcs; Rp70.000 
82;PU-S9-BACKEND;Jasa Pencabutan Tiang besi 9 meter Eksisting (tiang bengkok dikembalikan ke gudang);pcs; Rp70.000 
83;PU-LABEL-EXST;Jasa Pelabelan Tiang dengan menggunakan cat besi sesuai DESIGN PACK;node; Rp2.500 
84;RK-OLT-OUTDOOR;Jasa Pemasangan Mini OLT Outdoor berikut dengan pondasi Rak Mini OLT Outdoor dan Manhole 120, sesuai guidelines yang berlaku;node; Rp8.000.000 
85;PIPE-BRIDGE;"jasa Pemasangan Pipa galvanis dengan ukuran diameter 5"" pada jembatan berikut dengan penyambungan pipa dan cat identitas INTERNUSA GROUP";meter; Rp70.000 
86;MV-MATERIAL-20/39;Delivery material dalam jarak 0-20 km dari WH INTERNUSA ke on site pekerjaan per segment;ls; Rp20.000 
87;MV-MATERIAL-20/40;Delivery material dalam jarak 20-40 km dari WH INTERNUSA ke on site pekerjaan per segment;ls; Rp40.000 
88;MV-MATERIAL-40/60;Delivery material dalam jarak 40-60 km dari WH INTERNUSA ke on site pekerjaan per segment;ls; Rp80.000 
89;MV-MATERIAL-60-UP;Delivery material dalam jarak >60 km dari WH INTERNUSA ke on site pekerjaan per segment;ls; Rp150.000 
90;PERMIT-HOMEPASS;Nilai perizinan yang diberikan berdasarkan jumlah homepass dalam cluster dengan guidelines INTERNUSA yang berlaku;lot; pengajuan 
91;SURVEY-HOMEPASS;Nilai kegiatan survey yang diberikan berdasarkan jumlah homepass dalam cluster dengan guidelines INTERNUSA yang berlaku;lot; Rp2.500 
92;PRELIMINARY-BCKBN-PEMDA;Biaya-biaya yang timbul dalam rangka untuk perijinan, konsumsi, kompensasi dan Supervisi mulai dari LSM, Private Area dan Rumija Pemda melingkupi PU NASIONAL, PU PROVINSI dan PU KABUPATEN/ KOTA dalam dasar pekerjaan segment Backbone;meter; Rp750 
93;PEMBERKASAN DOKUMEN;Pemberkasan dokumentasi pekerjaan ;Package; Rp2.000.000 
